timestamp,x,y,z
1403636859536666368,4.621150,-1.837605,0.739627
1403636859541666560,4.621028,-1.837298,0.741803
1403636859546666496,4.620899,-1.836987,0.744008
1403636859551666432,4.620761,-1.836674,0.746240
1403636859556666624,4.620616,-1.836359,0.748492
1403636859561666560,4.620462,-1.836041,0.750757
1403636859566666496,4.620300,-1.835723,0.753029
1403636859571666432,4.620130,-1.835406,0.755303
1403636859576666624,4.619954,-1.835089,0.757575
1403636859581666560,4.619774,-1.834772,0.759845
1403636859586666496,4.619595,-1.834459,0.762112
1403636859591666432,4.619410,-1.834144,0.764377
1403636859596666624,4.619221,-1.833830,0.766642
1403636859601666560,4.619029,-1.833517,0.768911
1403636859606666496,4.618835,-1.833206,0.771188
1403636859611666432,4.618638,-1.832898,0.773478
1403636859616666624,4.618439,-1.832594,0.775784
1403636859621666304,4.618239,-1.832296,0.778107
1403636859626666496,4.618038,-1.832005,0.780446
1403636859631666432,4.617835,-1.831723,0.782801
1403636859636666624,4.617647,-1.831455,0.785169
1403636859641666304,4.617442,-1.831191,0.787544
1403636859646666496,4.617235,-1.830936,0.789924
1403636859651666432,4.617023,-1.830692,0.792306
1403636859656666624,4.616807,-1.830458,0.794689
1403636859661666304,4.616586,-1.830234,0.797069
1403636859666666496,4.616360,-1.830019,0.799444
1403636859671666432,4.616129,-1.829813,0.801814
1403636859676666624,4.615896,-1.829613,0.804180
1403636859681666560,4.615663,-1.829421,0.806545
1403636859686666496,4.615450,-1.829241,0.808912
1403636859691666688,4.615222,-1.829055,0.811280
1403636859696666368,4.614996,-1.828866,0.813652
1403636859701666560,4.614772,-1.828672,0.816032
1403636859706666496,4.614550,-1.828473,0.818422
1403636859711666688,4.614330,-1.828269,0.820822
1403636859716666368,4.614111,-1.828063,0.823230
1403636859721666560,4.613892,-1.827856,0.825642
1403636859726666496,4.613675,-1.827648,0.828054
1403636859731666688,4.613459,-1.827442,0.830463
1403636859736666368,4.613268,-1.827248,0.832868
1403636859741666560,4.613061,-1.827051,0.835258
1403636859746666496,4.612853,-1.826862,0.837632
1403636859751666432,4.612649,-1.826681,0.839990
1403636859756666368,4.612449,-1.826507,0.842334
1403636859761666560,4.612255,-1.826342,0.844666
1403636859766666496,4.612068,-1.826182,0.846988
1403636859771666432,4.611889,-1.826027,0.849302
1403636859776666368,4.611716,-1.825874,0.851611
1403636859781666560,4.611550,-1.825723,0.853917
1403636859786666496,4.611415,-1.825578,0.856233
1403636859791666432,4.611263,-1.825428,0.858549
1403636859796666368,4.611113,-1.825278,0.860872
1403636859801666560,4.610965,-1.825128,0.863199
1403636859806666496,4.610818,-1.824978,0.865525
1403636859811666432,4.610674,-1.824828,0.867845
1403636859816666624,4.610532,-1.824682,0.870152
1403636859821666560,4.610393,-1.824540,0.872442
1403636859826666496,4.610259,-1.824406,0.874709
1403636859831666432,4.610131,-1.824283,0.876954
1403636859836666624,4.610038,-1.824177,0.879184
1403636859841666560,4.609933,-1.824082,0.881386
1403636859846666496,4.609836,-1.824000,0.883568
1403636859851666432,4.609750,-1.823932,0.885732
1403636859856666624,4.609671,-1.823874,0.887883
1403636859861666560,4.609600,-1.823825,0.890025
1403636859866666496,4.609536,-1.823782,0.892162
1403636859871666432,4.609478,-1.823744,0.894297
1403636859876666624,4.609426,-1.823709,0.896429
1403636859881666304,4.609378,-1.823677,0.898557
1403636859886666496,4.609367,-1.823648,0.900686
1403636859891666432,4.609336,-1.823619,0.902792
1403636859896666624,4.609311,-1.823592,0.904879
1403636859901666304,4.609292,-1.823567,0.906944
1403636859906666496,4.609280,-1.823544,0.908983
1403636859911666432,4.609274,-1.823524,0.910993
1403636859916666624,4.609274,-1.823508,0.912973
1403636859921666304,4.609278,-1.823494,0.914924
1403636859926666496,4.609288,-1.823481,0.916845
1403636859931666688,4.609304,-1.823467,0.918737
1403636859936666368,4.609364,-1.823449,0.920604
1403636859941666560,4.609401,-1.823428,0.922431
1403636859946666496,4.609446,-1.823401,0.924220
